name,playcount,listeners,mbid,url,streamable,tags
Norah Jones,78981774,2478878,985c709c-7771-4de3-9024-7bda29ebe3f9,https://www.last.fm/music/Norah+Jones,0,"jazz, female vocalists, blues"
Ella Fitzgerald,42565299,2351388,54799c0e-eb45-4eea-996d-c4d71a63c499,https://www.last.fm/music/Ella+Fitzgerald,0,"jazz, female vocalists, blues"
Ludacris,23698198,2262607,0638ba22-040f-438d-83a5-9b670c4adaf5,https://www.last.fm/music/Ludacris,0,"rap, Hip-Hop, Dirty South"
Hoobastank,35337442,2251555,2fa0d3ac-b64c-401a-b0a1-4915ba6cc157,https://www.last.fm/music/Hoobastank,0,"rock, alternative rock, alternative"
Gnarls Barkley,34076044,2186774,a47c3aa2-7d87-475c-a2c7-1e2047dafb09,https://www.last.fm/music/Gnarls+Barkley,0,"funk, soul, Hip-Hop"
Neil Young,80011758,2108105,75167b8b-44e4-407b-9d35-effe87b223cf,https://www.last.fm/music/Neil+Young,0,"classic rock, singer-songwriter, rock"
Leona Lewis,32064951,2085351,8d552dfc-648f-401f-90de-e925013ca537,https://www.last.fm/music/Leona+Lewis,0,"pop, female vocalists, soul"
Plain White T's,29593625,2014481,49576e42-fbbd-4d73-968d-93c8dcf7f065,https://www.last.fm/music/Plain+White+T%27s,0,"indie, rock, pop punk"
Tenacious D,62762800,1970725,148ddea2-6839-4354-8e2c-5dfadf136b7f,https://www.last.fm/music/Tenacious+D,0,"rock, comedy, hard rock"
Damien Rice,58420897,1955807,2119beb8-6ac5-4f21-82a4-b831c90c0024,https://www.last.fm/music/Damien+Rice,0,"singer-songwriter, acoustic, indie"
Lou Reed,40649824,1949909,9d1ebcfe-4c15-4d18-95d3-d919898638a1,https://www.last.fm/music/Lou+Reed,0,"rock, classic rock, singer-songwriter"
Billie Holiday,39628309,1883135,d59c4cda-11d9-48db-8bfe-b557ee602aed,https://www.last.fm/music/Billie+Holiday,0,"jazz, blues, female vocalists"
Travis,44652826,1879769,960607c6-b0e3-483d-be67-8232eb50eb95,https://www.last.fm/music/Travis,0,"britpop, indie, rock"
Goldfrapp,52615728,1852837,7b885d42-3c41-4f43-9944-a5855ec5155e,https://www.last.fm/music/Goldfrapp,0,"electronic, trip-hop, female vocalists"
Lifehouse,42078136,1837171,04591295-6d94-45cb-b6c7-1ae17c6f380e,https://www.last.fm/music/Lifehouse,0,"rock, alternative rock, alternative"
Editors,61552720,1822936,0efe858c-89e5-4e47-906a-356fa953fd6e,https://www.last.fm/music/Editors,0,"seen live, indie, indie rock"
Wolfmother,36161143,1793541,f0c8f75f-8736-4b1d-b312-9349fcff321d,https://www.last.fm/music/Wolfmother,0,"rock, hard rock, Stoner Rock"
Bloodhound Gang,39276139,1790782,b2dbfc09-b332-408b-a235-1850e41971c5,https://www.last.fm/music/Bloodhound+Gang,0,"rock, alternative, alternative rock"
Eels,55723755,1787747,14387b0f-765c-4852-852f-135335790466,https://www.last.fm/music/Eels,0,"indie, alternative, rock"
Paul Simon,39416889,1750870,05517043-ff78-4988-9c22-88c68588ebb9,https://www.last.fm/music/Paul+Simon,0,"singer-songwriter, folk, classic rock"
Judas Priest,83557705,1746857,6b335658-22c8-485d-93de-0bc29a1d0349,https://www.last.fm/music/Judas+Priest,0,"heavy metal, metal, hard rock"
